"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18826","@smoke1 Verify open the page and add new user","chromium","Tue Oct 28 21:27:40 ICT 2025","passed","Tue Oct 28 21:27:59 ICT 2025","DEMOQA Practice Form Module","smoke\forms\practiceForm.spec.js","",""
"","3","@regression Verify edit with valid data","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","19170","@regression1 Verify edit data with empty textfield","chromium","Tue Oct 28 23:17:39 ICT 2025","passed","Tue Oct 28 23:17:58 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on Forbidden link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","16649","@regression1 Verify click on home link succeffully","firefox","Wed Oct 29 13:21:30 ICT 2025","failed","Wed Oct 29 13:21:47 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","32951","@regression1 Verify click me button is working","firefox","Wed Oct 29 10:51:28 ICT 2025","passed","Wed Oct 29 10:52:01 ICT 2025","DEMOQA Button Module","regression\elements\buttons.spec.js","",""
"","1","@regression Verify add valid data successfully","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Practice Form Module","regression\forms\practiceForm.spec.js","",""
"","33205","@regression1 Verify edit with valid data","webkit","Tue Oct 28 23:15:57 ICT 2025","passed","Tue Oct 28 23:16:30 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on home link succeffully","firefox","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","0","@regression Verify add data with empty textfield","chromium","Wed Oct 29 13:17:39 ICT 2025","skipped","Wed Oct 29 13:17:39 ICT 2025","DEMOQA Web tables Module","regression\elements\webTables.spec.js","",""
"","0","@regression Verify click on home link succeffully","chromium","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","1","@regression Verify click on home41tpo link succeffully","webkit","Tue Oct 28 23:26:06 ICT 2025","skipped","Tue Oct 28 23:26:06 ICT 2025","DEMOQA Links Module","regression\elements\links.spec.js","",""
"","20452","@smoke Verify open the page and add new user","webkit","Tue Oct 28 23:30:14 ICT 2025","passed","Tue Oct 28 23:30:35 ICT 2025","DEMOQA Practice Form Module","smoke\forms\practiceForm.spec.js","",""
